75,2.04,26.50,100774.60,67.00,27.75
76,2.01,26.55,100778.13,75.00,27.56
77,2.44,26.57,100783.14,76.00,27.37
78,2.07,26.55,100779.50,69.00,27.31
79,2.44,26.53,100781.42,69.00,27.31
80,2.04,26.51,100773.77,69.00,28.69
81,2.56,26.52,100776.02,74.00,28.19
82,2.18,26.50,100778.75,67.00,27.94
83,2.41,26.48,100780.99,69.00,27.87
84,2.04,26.49,100778.13,72.00,27.81
85,2.39,26.31,100744.39,72.00,23.87
86,2.42,26.33,100741.33,66.00,23.87
87,2.42,26.36,100745.40,63.00,23.87
88,2.47,26.39,100747.80,62.00,23.87
89,2.42,26.41,100748.48,63.00,23.87
90,2.33,26.31,100739.82,65.00,25.81
91,2.36,26.38,100745.03,76.00,25.81
92,2.33,26.41,100740.86,67.00,25.87
93,2.36,26.43,100744.76,68.00,25.94
94,2.33,26.44,100738.38,62.00,26.00
95,2.30,26.34,100727.47,63.00,27.81
96,2.27,26.39,100732.67,78.00,27.81
97,2.36,26.37,100735.27,73.00,27.87
98,2.33,26.38,100733.71,74.00,27.87
99,2.36,26.41,100733.52,74.00,27.94
100,2.27,26.44,100731.85,76.00,29.75
101,2.22,26.52,100739.32,81.00,29.75
102,2.30,26.53,100738.74,70.00,29.75
103,2.25,26.55,100735.85,70.00,29.69
104,2.25,26.58,100732.08,66.00,29.62
105,2.22,26.32,100720.46,73.00,31.56
106,2.25,26.40,100726.07,82.00,31.50
107,2.19,26.44,100726.69,76.00,31.44
108,2.22,26.50,100728.84,68.00,31.37
109,2.22,26.50,100723.88,65.00,31.31
110,1.96,26.47,100734.53,75.00,31.75
111,2.50,26.53,100737.19,76.00,31.75
112,2.39,26.54,100733.09,78.00,31.62
113,1.99,26.57,100735.10,75.00,31.56
114,1.96,26.58,100735.00,84.00,31.44
115,2.56,25.81,100549.57,74.00,23.94
116,2.50,25.83,100550.75,72.00,23.94
117,2.50,25.82,100548.58,69.00,23.87
118,2.56,25.83,100550.28,65.00,23.87
119,2.50,25.84,100550.75,64.00,23.87
120,2.50,25.89,100546.21,63.00,25.75
121,2.53,25.90,100545.92,62.00,25.81
122,2.47,25.93,100547.41,64.00,25.94
123,2.53,25.92,100547.49,63.00,26.00
124,2.53,25.92,100550.14,63.00,26.00
125,2.50,25.99,100550.34,63.00,27.94
126,2.50,26.04,100559.14,72.00,27.87
127,2.47,26.03,100557.63,63.00,27.94
128,2.47,26.04,100556.96,62.00,27.94
129,2.47,26.04,100556.14,62.00,28.00
130,2.36,26.19,100550.38,61.00,29.81
131,2.44,26.22,100550.24,74.00,29.81
132,2.73,26.22,100549.36,63.00,29.81
133,2.19,26.22,100552.11,63.00,29.81
134,2.70,26.20,100554.50,61.00,29.75
135,2.61,26.33,100562.32,66.00,31.69
136,2.50,26.37,100566.04,65.00,31.56
137,2.10,26.37,100567.76,61.00,31.56
138,2.56,26.39,100569.33,66.00,31.56
139,2.10,26.37,100570.56,71.00,31.50
140,2.58,27.13,100545.02,68.00,24.87
141,2.44,26.92,100547.13,62.00,24.87
142,2.39,26.77,100546.49,64.00,24.87
